statename,rank,countryd,val2015,val2016,val2017,val2018,share15,share16,share17,share18,change
Connecticut,7,Netherlands,476.59,499.06,619.4,771.23,3.1269,3.4672,4.1897,4.4324,24.51
Connecticut,8,Japan,526.58,525.41,546.68,629.05,3.4549,3.6502,3.6979,3.6152,15.07
Connecticut,9,Singapore,278.49,333.72,399.48,623.28,1.8272,2.3185,2.7021,3.5821,56.02
Connecticut,10,"Korea, South",457.53,364.66,539.06,422.93,3.0018,2.5335,3.6463,2.4307,-21.54
Connecticut,11,Belgium,259.92,241.81,171.64,242.65,1.7053,1.68,1.161,1.3946,41.37
Connecticut,12,Taiwan,115.12,137.95,180.78,229.62,0.7553,0.9584,1.2228,1.3197,27.02
Connecticut,13,Israel,118.73,148.64,128.63,206.62,0.779,1.0327,0.8701,1.1875,60.63
Connecticut,14,Poland,76.72,61.75,137.52,206.41,0.5034,0.429,0.9302,1.1863,50.09
Connecticut,15,Brazil,244.62,213.89,181.74,205.03,1.6049,1.486,1.2293,1.1783,12.81
Connecticut,16,United Arab Emirates,1592.08,1241.81,174.44,190.22,10.4455,8.6274,1.18,1.0932,9.04
Connecticut,17,Hong Kong,188.87,231.25,209.74,179.47,1.2392,1.6066,1.4187,1.0314,-14.43
Connecticut,18,Italy,111.24,111.5,142.34,173.11,0.7298,0.7746,0.9628,0.9949,21.62
Connecticut,19,Malaysia,113.14,116.57,134.75,157.09,0.7423,0.8099,0.9115,0.9028,16.57
Connecticut,20,Switzerland,161.19,204.22,144.79,152.58,1.0576,1.4188,0.9794,0.8769,5.38
Connecticut,21,Turkey,103.93,103.86,130.11,144.2,0.6819,0.7216,0.8801,0.8288,10.83
Connecticut,22,India,93.63,100.39,130.18,138.28,0.6143,0.6975,0.8806,0.7947,6.22
Connecticut,23,Dominican Republic,138.27,124.09,120.12,130.75,0.9072,0.8621,0.8125,0.7515,8.85
Connecticut,24,Australia,104.43,114.21,188.52,112.77,0.6851,0.7934,1.2752,0.6481,-40.18
Connecticut,25,Spain,86.91,131.72,92.23,109.85,0.5702,0.9151,0.6239,0.6313,19.1
Delaware,0,World,5407.66,4517.47,4565.61,4703.21,0.3597,0.3113,0.2953,0.2826,3.01
Delaware,0,Top 25,4801.58,3909.89,4005.86,4222.41,88.7923,86.5502,87.7398,89.7771,5.41
Delaware,1,Canada,579.48,545.48,603.78,715.96,10.7158,12.0749,13.2246,15.2229,18.58
Delaware,2,United Kingdom,882,549.31,323.5,404.47,16.3102,12.1596,7.0855,8.5999,25.03
Delaware,3,China,387.46,340.82,353.36,380.77,7.1651,7.5445,7.7396,8.096,7.76
Delaware,4,Belgium,131.76,140.12,199.95,367.35,2.4366,3.1018,4.3795,7.8106,83.72
Delaware,5,Saudi Arabia,704.67,373.96,499.05,286.11,13.031,8.2781,10.9307,6.0834,-42.67
Delaware,6,Germany,262.87,310.96,231.49,239.03,4.8611,6.8835,5.0702,5.0823,3.26
Delaware,7,United Arab Emirates,387.23,381.61,252.14,212.13,7.1607,8.4474,5.5226,4.5102,-15.87
Delaware,8,"Korea, South",61.26,59.24,116.53,195.86,1.1328,1.3113,2.5523,4.1644,68.08
Delaware,9,Kuwait,160.43,155.69,158.63,187.74,2.9667,3.4465,3.4745,3.9918,18.35
Delaware,10,Japan,190.64,163.67,178.22,176.02,3.5253,3.623,3.9036,3.7425,-1.24
Delaware,11,Mexico,153.15,143.04,327.19,156.1,2.8321,3.1664,7.1663,3.3191,-52.29
Delaware,12,Singapore,112.05,112.49,135.37,124.4,2.0721,2.4901,2.9649,2.645,-8.1
Delaware,13,Netherlands,229.94,62.67,88.44,122.39,4.2521,1.3872,1.9371,2.6023,38.39
Delaware,14,Taiwan,95.59,97.61,118.31,116.45,1.7676,2.1607,2.5913,2.4759,-1.57
Delaware,15,Hong Kong,152.75,77.83,86.99,80.81,2.8247,1.723,1.9052,1.7181,-7.1
Delaware,16,Costa Rica,62.67,55.15,60.27,61.08,1.1589,1.2208,1.3201,1.2987,1.34
Delaware,17,Equatorial Guinea,0.01,0.32,17.01,56.99,0.0002,0.0071,0.3726,1.2116,234.97
Delaware,18,Brazil,83.25,63.56,89.73,55.6,1.5395,1.4071,1.9653,1.1822,-38.03
Delaware,19,Australia,12.39,104.74,20.13,53.86,0.2292,2.3186,0.441,1.1452,167.51
Delaware,20,Bahamas,1.37,27.05,12.89,52,0.0253,0.5987,0.2822,1.1057,303.57
Delaware,21,Colombia,34.9,30.57,32.79,46.09,0.6453,0.6767,0.7181,0.98,40.58
Delaware,22,India,38.56,39.81,36.69,41.23,0.7131,0.8813,0.8037,0.8767,12.37
Delaware,23,Uruguay,3.55,1.9,3.18,33.4,0.0656,0.042,0.0696,0.7101,951.39
Delaware,24,Qatar,40.57,51.2,28.67,29.09,0.7503,1.1333,0.628,0.6186,1.48
Delaware,25,Guatemala,33.02,21.1,31.56,27.46,0.6107,0.4671,0.6913,0.5839,-12.98
District of Columbia,0,World,1088.01,1330.67,1483.08,2726.32,0.0724,0.0917,0.0959,0.1638,83.83
District of Columbia,0,Top 25,1012.76,1249.64,1419.47,2654.72,93.0834,93.91,95.7111,97.3737,87.02
District of Columbia,1,Qatar,1.68,1.29,8.85,703.64,0.1548,0.0966,0.597,25.8093,7846.58
District of Columbia,2,United Arab Emirates,686.39,711.2,238.96,672.52,63.0865,53.4467,16.1123,24.6678,181.44
District of Columbia,3,United Kingdom,13.96,18.21,42.46,456.58,1.2833,1.3684,2.8632,16.7473,975.25
District of Columbia,4,Kuwait,25.24,109.59,788.77,146.44,2.3195,8.2355,53.1849,5.3713,-81.43
District of Columbia,5,Egypt,0.16,10.79,22.87,129.47,0.0143,0.8112,1.5421,4.749,466.11
District of Columbia,6,Morocco,47.35,79.32,81.45,95.33,4.3522,5.961,5.492,3.4966,17.04
District of Columbia,7,France,2.08,6.18,21.35,94.94,0.1909,0.4645,1.4395,3.4824,344.72
District of Columbia,8,Germany,5.09,3.51,2.91,43.48,0.4677,0.264,0.1964,1.5947,1392.82
District of Columbia,9,Bahrain,41.19,28.97,29.07,42.22,3.7859,2.177,1.9602,1.5485,45.22
District of Columbia,10,Norway,25.82,55.21,33.58,39.21,2.3732,4.1493,2.2641,1.4381,16.76
District of Columbia,11,Brazil,25.71,47.76,29.49,31.72,2.3634,3.5895,1.9882,1.1635,7.57
District of Columbia,12,Italy,17.39,0.2,3.3,28.79,1.5981,0.015,0.2224,1.0559,772.82
District of Columbia,13,Mexico,5.24,5.28,18.55,22.73,0.482,0.397,1.2509,0.8338,22.54
District of Columbia,14,Switzerland,9.72,116.96,26.6,21.23,0.8935,8.7896,1.7933,0.7789,-20.16
District of Columbia,15,Oman,72.29,30.15,25.02,19.73,6.6443,2.266,1.6869,0.7236,-21.14
District of Columbia,16,Greece,0.95,4.52,5,17.4,0.087,0.3399,0.3373,0.6383,247.84
District of Columbia,17,Finland,0.13,0,2.49,14.14,0.0117,0,0.1678,0.5188,468.21
District of Columbia,18,Belgium,0.4,0.26,0.36,13.33,0.0367,0.0199,0.0245,0.489,3565.92
District of Columbia,19,Sweden,1.04,0.67,4.81,10.89,0.0951,0.0504,0.3243,0.3995,126.43
District of Columbia,20,India,4.69,1.84,7.55,9.39,0.4315,0.1385,0.509,0.3443,24.34
District of Columbia,21,Canada,10.5,9.05,11.38,9.21,0.9653,0.6802,0.7675,0.3377,-19.1
District of Columbia,22,Netherlands,1.31,1.33,3.17,8.48,0.1203,0.1003,0.2139,0.3111,167.33
District of Columbia,23,Chile,13.18,5.24,7.83,8.32,1.2112,0.3937,0.5277,0.3053,6.34
District of Columbia,24,Japan,0.57,1.42,1.87,7.85,0.0522,0.1066,0.1263,0.2878,318.91
District of Columbia,25,Australia,0.69,0.65,1.77,7.67,0.063,0.0491,0.1192,0.2813,333.64
Florida,0,World,53903.08,52031.71,54914.29,57240.94,3.5856,3.5859,3.5514,3.4398,4.24
Florida,0,Top 25,37465.71,37780.07,40596.51,41928.85,69.5057,72.6097,73.927,73.2498,3.28
Florida,1,Brazil,3696.97,3593.4,4086.39,4510.33,6.8585,6.9062,7.4414,7.8796,10.37
Florida,2,Canada,3904.61,3501.34,3585.06,3749.19,7.2438,6.7292,6.5285,6.5498,4.58
Florida,3,Mexico,2721.41,2830.1,3078.53,3335.06,5.0487,5.4392,5.6061,5.8264,8.33
Florida,4,Colombia,2537.81,2186.78,2298.55,2431.06,4.7081,4.2028,4.1857,4.2471,5.76
Florida,5,Germany,1797.29,1950.08,2368.29,2296.69,3.3343,3.7479,4.3127,4.0123,-3.02
