"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"2050","Ecuador",2020-12-15,48,202356,3604,13896,102,11469.5,204.3,787.6,5.8,38,38
"2063","Egypt",2020-12-15,48,122609,3328,6966,153,1198.1,32.5,68.1,1.5,39,38
"2118","El Salvador",2020-12-15,48,42132,1581,1212,44,6495.8,243.8,186.9,6.8,35,32
"2153","Equatorial Guinea",2020-12-15,48,5195,29,85,0,3702.8,20.7,60.6,0,33,29
"2202","Eritrea",2020-12-15,48,711,62,0,0,200.5,17.5,0,0,26,0
"2260","Estonia",2020-12-15,48,18682,3172,157,20,14078.4,2390.4,118.3,15.1,39,36
"2276","Eswatini",2020-12-15,48,6912,349,132,8,5958.6,300.9,113.8,6.9,32,24
"2308","Ethiopia",2020-12-15,48,117542,3276,1813,47,1022.4,28.5,15.8,0.4,34,28
"2356","Fiji",2020-12-15,48,46,2,2,0,51.3,2.2,2.2,0,0,0
"2417","Finland",2020-12-15,48,31459,3217,466,42,5677.5,580.6,84.1,7.6,39,37
"2468","France",2020-12-15,48,2447406,82363,59182,2731,37494.3,1261.8,906.7,41.8,41,40
"2498","Gabon",2020-12-15,48,9351,73,63,3,4200.8,32.8,28.3,1.3,34,30
"2555","Georgia",2020-12-15,48,194900,25251,1883,307,48859.4,6330.2,472,77,37,31
"2605","Germany",2020-12-15,48,1391086,161817,23544,3542,16603.2,1931.4,281,42.3,41,39
"2634","Ghana",2020-12-15,48,53270,770,327,1,1714.4,24.8,10.5,0,37,33
"2683","Greece",2020-12-15,48,126372,8327,3785,591,12124.3,798.9,363.1,56.7,39,38
"2716","Grenada",2020-12-15,48,69,26,0,0,610.6,230.1,0,0,0,0
"2743","Guatemala",2020-12-15,48,130082,3609,4476,190,7260.7,201.4,249.8,10.6,35,33
"2797","Guinea",2020-12-15,48,13457,193,80,1,1024.7,14.7,6.1,0.1,36,32
"2814","Guinea-Bissau",2020-12-15,48,2447,3,44,0,1243.4,1.5,22.4,0,32,27
"2863","Guyana",2020-12-15,48,5973,273,156,2,7589.6,346.9,198.2,2.5,31,32
"2890","Haiti",2020-12-15,48,9597,198,234,1,841.6,17.4,20.5,0.1,32,32
"2965","Holy See (Vatican City)",2020-12-15,48,27,0,0,0,27000,0,0,0,0,0
"2980","Honduras",2020-12-15,48,114943,3236,3001,51,11604.5,326.7,303,5.1,37,36
"3036","Hong Kong",2020-12-15,48,7721,646,123,11,1029.9,86.2,16.4,1.5,41,21
"3085","Hungary",2020-12-15,48,285763,29396,7237,1117,29582.1,3043.1,749.2,115.6,38,37
"3113","Iceland",2020-12-15,48,5571,65,28,0,16337.2,190.6,82.1,0,39,34
"3140","India",2020-12-15,48,9932547,196697,144096,2736,7197.5,142.5,104.4,2,39,38
"3208","Indonesia",2020-12-15,48,629429,42587,19111,1111,2301.2,155.7,69.9,4.1,39,38
"3229","Iran (Islamic Republic of)",2020-12-15,48,1123474,61077,52670,1753,13375.8,727.2,627.1,20.9,41,42
"3279","Iraq",2020-12-15,48,577363,9225,12614,137,14354.1,229.3,313.6,3.4,39,39
"3352","Ireland",2020-12-15,48,76776,2094,2134,37,15548,424.1,432.2,7.5,39,37
